mcc_code.code_mcc,mcc_code.industry,mcc_code.date_pr
5949,Clothing & Apparel,20230831
5137,Clothing & Apparel ,20230831
5300,Clothing & Apparel ,20230831
5611,Clothing & Apparel ,20230831
5621,Clothing & Apparel ,20230831
5641,Clothing & Apparel ,20230831
5651,Clothing & Apparel ,20230831
5655,Clothing & Apparel ,20230831
5661,Clothing & Apparel ,20230831
5669,Clothing & Apparel ,20230831
5681,Clothing & Apparel ,20230831
5690,Clothing & Apparel ,20230831
5691,Clothing & Apparel ,20230831
5697,Clothing & Apparel ,20230831
5699,Clothing & Apparel ,20230831
5748,Clothing & Apparel ,20230831
5948,Clothing & Apparel ,20230831
5951,Clothing & Apparel ,20230831
5961,Clothing & Apparel ,20230831
7296,Clothing & Apparel ,20230831
1520,Contruction        ,20230831
1731,Contruction        ,20230831
1761,Contruction        ,20230831
5065,Contruction        ,20230831
5072,Contruction        ,20230831
5074,Contruction        ,20230831
5198,Contruction        ,20230831
5714,Contruction        ,20230831
1371,Contruction        ,20230831
1740,Contruction        ,20230831
5311,Departement Store  ,20230831
5999,Departement Store  ,20230831
8034,Departement Store  ,20230831
8043,Departement Store  ,20230831
5619,Departement Store  ,20230831
5631,Departement Store  ,20230831
5698,Departement Store  ,20230831
5977,Departement Store  ,20230831
7230,Departement Store  ,20230831
5308,Departement Store  ,20230831
5613,Departement Store  ,20230831
5667,Departement Store  ,20230831
5696,Departement Store  ,20230831
7911,Education          ,20230831
8220,Education          ,20230831
8249,Education          ,20230831
8299,Education          ,20230831
5111,Education          ,20230831
5192,Education          ,20230831
5399,Education          ,20230831
5931,Education          ,20230831
5942,Education          ,20230831
5943,Education          ,20230831
3224,Electronics        ,20230831
5045,Electronics        ,20230831
5723,Electronics        ,20230831
5732,Electronics        ,20230831
5734,Electronics        ,20230831
7372,Electronics        ,20230831
7379,Electronics        ,20230831
7622,Electronics        ,20230831
8412,Electronics        ,20230831
4812,Electronics        ,20230831
5749,Electronics        ,20230831
157,Entertainment      ,20230831
7832,Entertainment      ,20230831
7829,Entertainment      ,20230831
7841,Entertainment      ,20230831
7922,Entertainment      ,20230831
7929,Entertainment      ,20230831
7991,Entertainment      ,20230831
7993,Entertainment      ,20230831
7996,Entertainment      ,20230831
7999,Entertainment      ,20230831
4813,Entertainment      ,20230831
4815,Entertainment      ,20230831
7558,Entertainment      ,20230831
6010,Financial Services ,20230831
6012,Financial Services ,20230831
9700,Financial Services ,20230831
6051,Financial Services ,20230831
4900,Financial Services ,20230831
9311,Financial Services ,20230831
7276,Financial Services ,20230831
743,Food & Beverage    ,20230831
5422,Food & Beverage    ,20230831
5441,Food & Beverage    ,20230831
5462,Food & Beverage    ,20230831
5811,Food & Beverage    ,20230831
5812,Food & Beverage    ,20230831
5813,Food & Beverage    ,20230831
5814,Food & Beverage    ,20230831
5921,Food & Beverage    ,20230831
7229,Food & Beverage    ,20230831
5435,Food & Beverage    ,20230831
5917,Food & Beverage    ,20230831
5411,Grocery Supermarket,20230831
5499,Grocery Supermarket,20230831
9998,Grocery Supermarket,20230831
1711,Home Improvement   ,20230831
5021,Home Improvement   ,20230831
5039,Home Improvement   ,20230831
5193,Home Improvement   ,20230831
5200,Home Improvement   ,20230831
5211,Home Improvement   ,20230831
5231,Home Improvement   ,20230831
5251,Home Improvement   ,20230831
5261,Home Improvement   ,20230831
5712,Home Improvement   ,20230831
5713,Home Improvement   ,20230831
5719,Home Improvement   ,20230831
5722,Home Improvement   ,20230831
5950,Home Improvement   ,20230831
5992,Home Improvement   ,20230831
7217,Home Improvement   ,20230831
7394,Home Improvement   ,20230831
7629,Home Improvement   ,20230831
7641,Home Improvement   ,20230831
4225,Home Improvement   ,20230831
5063,Home Improvement   ,20230831
5298,Home Improvement   ,20230831
5717,Home Improvement   ,20230831
5996,Home Improvement   ,20230831
5127,Hospitals & Healthc,20230831
5912,Hospitals & Healthc,20230831
5976,Hospitals & Healthc,20230831
7248,Hospitals & Healthc,20230831
8011,Hospitals & Healthc,20230831
8021,Hospitals & Healthc,20230831
8031,Hospitals & Healthc,20230831
8049,Hospitals & Healthc,20230831
8071,Hospitals & Healthc,20230831
8099,Hospitals & Healthc,20230831
5047,Hospitals & Healthc,20230831
5122,Hospitals & Healthc,20230831
8062,Hospitals & Healthc,20230831
7298,Hospitals & Healthc,20230831
7928,Hospitals & Healthc,20230831
5960,Insurance          ,20230831
6300,Insurance          ,20230831
3244,Jewellery          ,20230831
5094,Jewellery          ,20230831
5944,Jewellery          ,20230831
7631,Jewellery          ,20230831
3642,Lodging            ,20230831
6513,Lodging            ,20230831
7011,Lodging            ,20230831
7012,Lodging            ,20230831
3501,Lodging            ,20230831
3502,Lodging            ,20230831
3503,Lodging            ,20230831
3504,Lodging            ,20230831
3508,Lodging            ,20230831
3509,Lodging            ,20230831
3512,Lodging            ,20230831
3513,Lodging            ,20230831
3518,Lodging            ,20230831
3520,Lodging            ,20230831
3523,Lodging            ,20230831
3526,Lodging            ,20230831
3533,Lodging            ,20230831
3535,Lodging            ,20230831
3538,Lodging            ,20230831
3543,Lodging            ,20230831
3545,Lodging            ,20230831
3562,Lodging            ,20230831
3570,Lodging            ,20230831
3577,Lodging            ,20230831
3612,Lodging            ,20230831
3632,Lodging            ,20230831
3640,Lodging            ,20230831
3641,Lodging            ,20230831
3651,Lodging            ,20230831
3661,Lodging            ,20230831
3690,Lodging            ,20230831
3699,Lodging            ,20230831
3710,Lodging            ,20230831
3742,Lodging            ,20230831
3750,Lodging            ,20230831
3774,Lodging            ,20230831
5541,Petrol             ,20230831
5542,Petrol             ,20230831
5983,Petrol             ,20230831
5172,Petrol             ,20230831
9546,Petrol             ,20230831
4814,Provider           ,20230831
4816,Provider           ,20230831
4899,Provider           ,20230831
5309,Services           ,20230831
5978,Services           ,20230831
4468,Services           ,20230831
4798,Services           ,20230831
